group,variable,value
DOSAGE_UNIT,CORRECTION_NO,0.07303279056407244
DOSAGE_UNIT,STRENGTH,0.003990718197754334
DOSAGE_UNIT,TRANSACTION_DATE,0.004645343467126488
DOSAGE_UNIT,CALC_BASE_WT_IN_GM,0.5920049352828797
DOSAGE_UNIT,DOSAGE_UNIT,1.0
DOSAGE_UNIT,TRANSACTION_ID,-0.027616826969801635
DOSAGE_UNIT,MME_Conversion_Factor,0.05285036819844454
DOSAGE_UNIT,Reporter_family,-0.14530438970978615
DOSAGE_UNIT,dos_str,0.5161874620095505
TRANSACTION_ID,REPORTER_ZIP,-0.5538866360469487
TRANSACTION_ID,BUYER_ZIP,0.008410390450586776
TRANSACTION_ID,DRUG_CODE,-0.2899089011031977
TRANSACTION_ID,QUANTITY,0.0020889363391362195
TRANSACTION_ID,CORRECTION_NO,0.3935298915944775
TRANSACTION_ID,STRENGTH,-0.0021476305168581927
TRANSACTION_ID,TRANSACTION_DATE,0.008810981112073487
TRANSACTION_ID,CALC_BASE_WT_IN_GM,0.029499401777096926
TRANSACTION_ID,DOSAGE_UNIT,-0.027616826969801635
TRANSACTION_ID,TRANSACTION_ID,1.0
TRANSACTION_ID,MME_Conversion_Factor,0.28990890110367495
TRANSACTION_ID,Reporter_family,0.02699958573430775
TRANSACTION_ID,dos_str,0.05583518794861101
MME_Conversion_Factor,REPORTER_ZIP,-0.06299959182520955
MME_Conversion_Factor,BUYER_ZIP,-0.0026740183049952363
MME_Conversion_Factor,DRUG_CODE,-0.9999999999999734
MME_Conversion_Factor,QUANTITY,0.009087456432468598
MME_Conversion_Factor,CORRECTION_NO,0.31973810003850667
MME_Conversion_Factor,STRENGTH,-0.0028800702971238335
MME_Conversion_Factor,TRANSACTION_DATE,0.004877121341063286
MME_Conversion_Factor,CALC_BASE_WT_IN_GM,0.2888966315014405
MME_Conversion_Factor,DOSAGE_UNIT,0.05285036819844454
MME_Conversion_Factor,TRANSACTION_ID,0.28990890110367495
MME_Conversion_Factor,MME_Conversion_Factor,1.0
MME_Conversion_Factor,Reporter_family,0.3244078545928674
MME_Conversion_Factor,dos_str,0.35326604200069894
Reporter_family,REPORTER_ZIP,0.0029366469941342435
Reporter_family,BUYER_ZIP,-0.010887686020169329
Reporter_family,DRUG_CODE,-0.32440785459291943
Reporter_family,QUANTITY,-0.007198295054392688
Reporter_family,CORRECTION_NO,0.029807236451098486
Reporter_family,STRENGTH,-0.0005551215758310729
Reporter_family,TRANSACTION_DATE,-0.003974431333856243
Reporter_family,CALC_BASE_WT_IN_GM,0.4376811439962931
Reporter_family,DOSAGE_UNIT,-0.14530438970978615
Reporter_family,TRANSACTION_ID,0.02699958573430775
Reporter_family,MME_Conversion_Factor,0.3244078545928674
Reporter_family,Reporter_family,1.0
Reporter_family,dos_str,0.46721412437921406
dos_str,REPORTER_ZIP,0.015129876974880718
dos_str,BUYER_ZIP,-0.006765261889444273
dos_str,DRUG_CODE,-0.3532660420007084
dos_str,QUANTITY,0.061277345833628295
dos_str,CORRECTION_NO,0.1290371556602021
dos_str,STRENGTH,0.001500917341593911
dos_str,TRANSACTION_DATE,0.0022867615607177283
dos_str,CALC_BASE_WT_IN_GM,0.9904850491490483
dos_str,DOSAGE_UNIT,0.5161874620095505
dos_str,TRANSACTION_ID,0.05583518794861101
dos_str,MME_Conversion_Factor,0.35326604200069894
dos_str,Reporter_family,0.46721412437921406
dos_str,dos_str,1.0
